City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Jardim,BR,83.88,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
2,Kapaa,US,71.92,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Busselton,AU,62.1,overcast clouds,-33.65,115.3333,Observatory Guest House
5,Rikitea,PF,77.94,light rain,-23.1203,-134.9692,People ThankYou
9,Lata,PT,70.07,clear sky,40.1629,-8.3327,Casa Maquia
10,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
15,Flinders,AU,66.18,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
16,Ambon,ID,78.94,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
19,Ushuaia,AR,69.46,clear sky,-54.8,-68.3,Albatross Hotel
21,Wanning,CN,69.6,broken clouds,18.8003,110.3967,Paradise Hotel
22,Pimentel,PE,73.69,clear sky,-6.8367,-79.9342,Casona Del Muelle
24,Los Llanos De Aridane,ES,65.95,few clouds,28.6585,-17.9182,Valle Aridane
25,Hilo,US,67.8,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
27,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
29,Namibe,AO,80.31,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
31,Pemangkat,ID,79.38,overcast clouds,1.1667,108.9667,Ramah Kost KITA
35,Ancud,CL,70.23,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
41,Hermanus,ZA,78.91,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
43,Mahebourg,MU,82.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
46,Esperance,AU,63.75,clear sky,-33.8667,121.9,Hospitality Esperance
51,Minbu,MM,71.65,few clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
53,Sisophon,KH,86.14,scattered clouds,13.5859,102.9737,Pyramid Hotel
54,Victoria,HK,63.03,overcast clouds,22.2855,114.1577,Mini Hotel Central
56,Hambantota,LK,79.5,overcast clouds,6.1241,81.1185,Bungalow 63
57,Pedasi,PA,83.07,few clouds,7.5333,-80.0333,Selina Pedasi
59,Pangai,TO,78.26,light rain,-19.8,-174.35,Ha'apai Beach Resort
60,Bredasdorp,ZA,76.32,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
62,Wahiawa,US,70.12,few clouds,21.5028,-158.0236,Aloha Wahiawa
64,Saint-Leu,RE,81.46,light rain,-21.15,55.2833,La Caz Oceane
65,New Norfolk,AU,62.1,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
74,Port Alfred,ZA,81.09,clear sky,-33.5906,26.891,The Halyards Hotel
76,Labuhan,ID,79.29,overcast clouds,-6.8844,112.2051,DoubleFAG
77,Mar Del Plata,AR,72.09,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
78,Pasni,PK,71.53,clear sky,25.2631,63.471,Kashmiri Hotal
79,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
81,Mapiripan,CO,82.62,overcast clouds,2.8892,-72.1256,Monserrate
82,Biak,ID,76.69,broken clouds,-0.9131,122.8766,Penginapan Kim
84,Luanda,AO,80.53,broken clouds,-8.8368,13.2343,Hotel Fórum
85,Hithadhoo,MV,82.85,overcast clouds,-0.6,73.0833,Scoop Guest House
