City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kirkwall,GB,58.9848,-2.9587,43.14,81,75,19.57,broken clouds
1,Jardim,BR,-21.4803,-56.1381,83.88,34,64,6.44,broken clouds
2,Kapaa,US,22.0752,-159.319,71.92,74,20,14.97,few clouds
3,Pangnirtung,CA,66.1451,-65.7125,-29.2,62,75,5.75,broken clouds
4,Busselton,AU,-33.65,115.3333,62.1,68,86,9.53,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,77.94,77,4,13.71,light rain
6,Punta Arenas,CL,-53.15,-70.9167,57.22,93,0,8.05,clear sky
7,Airai,TL,-8.9266,125.4092,62.15,94,97,1.99,overcast clouds
8,Te Anau,NZ,-45.4167,167.7167,45.43,87,1,1.97,clear sky
9,Lata,PT,40.1629,-8.3327,70.07,36,0,4.56,clear sky
10,Vaini,TO,-21.2,-175.2,75.36,100,100,6.91,light rain
11,Matcha,RU,54.6335,42.3501,27.28,95,100,10.25,overcast clouds
12,Clyde River,CA,70.4692,-68.5914,-34.37,67,20,5.75,few clouds
13,Talnakh,RU,69.4865,88.3972,-24.61,98,69,5.91,broken clouds
14,Jamestown,US,42.097,-79.2353,27.99,47,0,8.05,clear sky
15,Flinders,AU,-34.5833,150.8552,66.18,79,66,10.0,broken clouds
16,Ambon,ID,-3.6954,128.1814,78.94,89,40,4.61,light rain
17,Naze,JP,28.3667,129.4833,57.87,73,100,15.55,light rain
18,Longyearbyen,SJ,78.2186,15.6401,15.64,79,75,8.05,broken clouds
19,Ushuaia,AR,-54.8,-68.3,69.46,49,0,4.61,clear sky
20,Pevek,RU,69.7008,170.3133,-26.25,97,24,2.13,few clouds
21,Wanning,CN,18.8003,110.3967,69.6,92,81,1.81,broken clouds
22,Pimentel,PE,-6.8367,-79.9342,73.69,68,0,4.61,clear sky
23,Sorland,NO,67.667,12.6934,35.46,87,40,16.11,light rain
24,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,68,20,14.97,few clouds
25,Hilo,US,19.7297,-155.09,67.8,94,20,5.75,few clouds
26,Ginda,IN,30.6945,78.4932,40.17,77,69,2.62,broken clouds
27,Avarua,CK,-21.2078,-159.775,78.85,78,40,16.11,scattered clouds
28,Fort-Shevchenko,KZ,44.5086,50.263,34.38,75,89,12.93,overcast clouds
29,Namibe,AO,-15.1961,12.1522,80.31,58,30,16.53,scattered clouds
30,Sitka,US,57.0531,-135.33,40.89,87,100,10.36,light rain
31,Pemangkat,ID,1.1667,108.9667,79.38,83,100,2.35,overcast clouds
32,Saint George,US,37.1041,-113.5841,43.36,52,0,5.75,clear sky
33,Margate,GB,51.3813,1.3862,50.97,59,11,14.12,few clouds
34,Mataura,NZ,-46.1927,168.8643,46.47,99,13,1.5,few clouds
35,Ancud,CL,-41.8697,-73.8203,70.23,71,25,2.48,scattered clouds
36,Nikolskoye,RU,59.7035,30.7861,35.71,98,100,7.78,snow
37,Nazas,MX,25.2333,-104.1333,41.31,43,0,6.06,clear sky
38,Nurota,UZ,40.5614,65.6886,39.29,78,100,7.52,overcast clouds
39,Iqaluit,CA,63.7506,-68.5145,-20.31,75,100,0.0,light snow
40,Mehamn,NO,71.0357,27.8492,26.78,74,0,27.63,clear sky
41,Hermanus,ZA,-34.4187,19.2345,78.91,73,92,8.41,overcast clouds
42,Atherton,GB,53.5237,-2.4935,53.69,90,100,1.99,overcast clouds
43,Mahebourg,MU,-20.4081,57.7,82.69,74,75,11.5,broken clouds
44,Lake Havasu City,US,34.4839,-114.3224,54.21,23,0,4.61,clear sky
45,Korla,CN,41.7597,86.1469,27.3,41,88,6.82,overcast clouds
46,Esperance,AU,-33.8667,121.9,63.75,66,1,25.7,clear sky
47,Bethel,US,41.3712,-73.414,34.38,87,100,0.0,snow
48,Lompoc,US,34.6391,-120.4579,55.13,73,0,10.36,clear sky
49,Omsk,RU,55.0,73.4,4.89,65,0,8.99,clear sky
50,Ilulissat,GL,69.2167,-51.1,8.62,78,100,12.66,light shower snow
51,Minbu,MM,20.1833,94.8833,71.65,29,15,4.32,few clouds
52,Khatanga,RU,71.9667,102.5,-20.94,97,100,9.55,overcast clouds
53,Sisophon,KH,13.5859,102.9737,86.14,47,27,3.87,scattered clouds
54,Victoria,HK,22.2855,114.1577,63.03,83,86,3.0,overcast clouds
55,Muromtsevo,RU,56.3724,75.2418,6.58,88,25,8.28,scattered clouds
56,Hambantota,LK,6.1241,81.1185,79.5,75,100,7.85,overcast clouds
57,Pedasi,PA,7.5333,-80.0333,83.07,75,18,16.11,few clouds
58,Norman Wells,CA,65.282,-126.8329,-18.36,69,100,19.57,light snow
59,Pangai,TO,-19.8,-174.35,78.26,82,100,22.17,light rain
60,Bredasdorp,ZA,-34.5322,20.0403,76.32,57,90,11.5,overcast clouds
61,Xining,CN,36.6167,101.7667,15.96,64,19,2.68,few clouds
62,Wahiawa,US,21.5028,-158.0236,70.12,76,16,10.87,few clouds
63,Qaanaaq,GL,77.484,-69.3632,-2.78,65,100,6.62,overcast clouds
64,Saint-Leu,RE,-21.15,55.2833,81.46,82,100,6.35,light rain
65,New Norfolk,AU,-42.7826,147.0587,62.1,69,1,1.48,clear sky
66,San Quintin,MX,30.4833,-115.95,55.4,40,0,2.17,clear sky
67,Ugento,IT,39.9263,18.1574,57.96,65,73,18.7,broken clouds
68,Sept-Iles,CA,50.2001,-66.3821,11.05,83,100,8.05,overcast clouds
69,Bud,US,39.447,-86.1758,27.25,76,67,8.48,broken clouds
