City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Elizabeth,ZA,2022-02-06 00:12:24,-33.918,25.5701,69.1,84,46,18.7
1,Andra,RU,2022-02-06 00:12:25,62.5147,65.8878,5.0,96,87,4.99
2,Pilar,BR,2022-02-06 00:12:26,-9.5972,-35.9567,75.63,70,99,5.35
3,Sorong,ID,2022-02-06 00:12:27,-0.8833,131.25,81.79,79,100,11.34
4,Khatanga,RU,2022-02-06 00:12:28,71.9667,102.5,-20.45,98,99,3.78
5,Atuona,PF,2022-02-06 00:12:29,-9.8,-139.0333,78.33,79,11,21.99
6,Mar Del Plata,AR,2022-02-06 00:12:30,-38.0023,-57.5575,63.09,77,75,5.99
7,Fairbanks,US,2022-02-06 00:12:14,64.8378,-147.7164,14.22,78,100,0.0
8,Vaini,TO,2022-02-06 00:12:31,-21.2,-175.2,78.08,88,100,25.12
9,Huilong,CN,2022-02-06 00:11:22,31.8111,121.655,41.04,57,59,4.07
10,Hermanus,ZA,2022-02-06 00:12:33,-34.4187,19.2345,70.9,86,14,12.5
11,Avarua,CK,2022-02-06 00:12:34,-21.2078,-159.775,82.45,78,75,17.27
12,Yerbogachen,RU,2022-02-06 00:12:10,61.2767,108.0108,10.06,97,100,2.86
13,Kodiak,US,2022-02-06 00:08:54,57.79,-152.4072,38.71,93,100,17.27
14,Punta Arenas,CL,2022-02-06 00:09:10,-53.15,-70.9167,57.31,58,75,14.97
15,Zhigansk,RU,2022-02-06 00:12:37,66.7697,123.3711,-25.56,99,100,5.95
16,Pevek,RU,2022-02-06 00:12:16,69.7008,170.3133,-26.84,99,42,1.79
17,Busselton,AU,2022-02-06 00:12:38,-33.65,115.3333,68.04,71,16,7.43
18,Jamestown,US,2022-02-06 00:12:38,42.097,-79.2353,15.12,61,0,0.0
19,Lahaina,US,2022-02-06 00:12:40,20.8783,-156.6825,84.2,81,7,6.15
20,Bengkulu,ID,2022-02-06 00:12:40,-3.8004,102.2655,73.56,95,100,9.19
21,Muroto,JP,2022-02-06 00:12:42,33.2833,134.15,39.58,52,40,11.7
22,Coahuayana,MX,2022-02-06 00:12:42,18.7333,-103.6833,85.48,59,6,4.38
23,Mecca,SA,2022-02-06 00:09:01,21.4267,39.8261,61.3,46,1,6.17
24,Cherskiy,RU,2022-02-06 00:12:43,68.75,161.3,-30.57,98,21,1.25
25,Ilulissat,GL,2022-02-06 00:12:44,69.2167,-51.1,-3.59,79,100,6.53
26,Ushuaia,AR,2022-02-06 00:12:45,-54.8,-68.3,49.37,89,100,2.13
27,Albany,US,2022-02-06 00:11:02,42.6001,-73.9662,14.09,59,5,1.01
28,Taketa,JP,2022-02-06 00:12:47,32.9652,131.3785,31.78,52,69,9.28
29,Bredasdorp,ZA,2022-02-06 00:12:49,-34.5322,20.0403,68.29,89,67,10.38
30,Saint George,US,2022-02-06 00:12:49,37.1041,-113.5841,59.47,15,0,3.0
31,Mataura,NZ,2022-02-06 00:12:50,-46.1927,168.8643,57.47,53,97,3.8
32,Anadyr,RU,2022-02-06 00:12:51,64.75,177.4833,-22.22,98,63,5.01
33,Hithadhoo,MV,2022-02-06 00:09:24,-0.6,73.0833,81.59,72,36,6.73
34,Bambous Virieux,MU,2022-02-06 00:12:52,-20.3428,57.7575,79.21,81,96,17.34
35,Tazovskiy,RU,2022-02-06 00:12:53,67.4667,78.7,-16.42,100,82,6.96
36,Rikitea,PF,2022-02-06 00:09:59,-23.1203,-134.9692,79.45,71,71,12.24
37,Vardo,NO,2022-02-06 00:12:55,70.3705,31.1107,26.98,79,90,27.87
38,San Borja,BO,2022-02-06 00:12:55,-14.8167,-66.85,74.34,95,73,3.78
39,Cayenne,GF,2022-02-06 00:12:56,4.9333,-52.3333,80.1,85,20,5.99
40,Elk Grove,US,2022-02-06 00:12:11,38.4088,-121.3716,66.97,44,0,1.01
41,Puerto Ayora,EC,2022-02-06 00:12:57,-0.7393,-90.3518,76.55,90,64,3.0
42,Dikson,RU,2022-02-06 00:12:58,73.5069,80.5464,-19.97,100,99,2.86
43,Castro,BR,2022-02-06 00:12:59,-24.7911,-50.0119,65.59,97,79,1.54
44,Clyde River,CA,2022-02-06 00:10:11,70.4692,-68.5914,-28.97,75,100,2.3
45,Poltavka,RU,2022-02-06 00:14:00,54.3663,71.7632,3.83,80,100,8.32
46,Bethel,US,2022-02-06 00:14:01,41.3712,-73.414,23.58,70,0,3.0
47,Iqaluit,CA,2022-02-06 00:14:02,63.7506,-68.5145,-35.14,98,97,2.8
48,Forbes,AU,2022-02-06 00:14:02,-33.3833,148.0167,77.92,43,2,10.89
49,Kaitangata,NZ,2022-02-06 00:14:03,-46.2817,169.8464,55.92,56,94,6.69
50,Bolotnoye,RU,2022-02-06 00:14:04,55.6717,84.3981,6.42,88,100,5.55
51,Torbay,CA,2022-02-06 00:14:05,47.6666,-52.7314,47.75,96,100,24.16
52,Severo-Kurilsk,RU,2022-02-06 00:14:05,50.6789,156.125,29.62,81,95,7.43
53,Hobart,AU,2022-02-06 00:12:37,-42.8794,147.3294,71.02,53,40,1.99
54,Kutum,SD,2022-02-06 00:14:07,14.2,24.6667,51.33,22,53,9.8
55,Fortuna,US,2022-02-06 00:14:08,40.5982,-124.1573,64.92,60,0,1.01
56,Mount Gambier,AU,2022-02-06 00:10:09,-37.8333,140.7667,77.76,35,55,7.07
57,Ouallam,NE,2022-02-06 00:14:09,14.3188,2.0866,66.06,16,2,11.74
58,Oriximina,BR,2022-02-06 00:14:09,-1.7656,-55.8661,74.93,92,92,3.13
59,Kijang,KR,2022-02-06 00:14:10,35.2442,129.2139,28.71,40,2,11.39
60,Los Llanos De Aridane,ES,2022-02-06 00:14:11,28.6585,-17.9182,67.12,29,0,5.01
